4O0LHN	79.143.111.138
4O0LPG	89.188.45.103
4O0UKO	77.222.25.97
4O0VBA	77.222.27.66
4O0VDU	77.222.25.88
4O0VKO	77.222.25.97
4O1UOB	62.4.49.198
9A0DDS	86.33.4.189
9A0DRJ	46.188.135.69
A62A	217.165.164.98
AA1HD	173.166.94.241
AA4PP	172.58.174.207
AF2A	216.59.68.165
BR2SY	175.168.61.192
CQ0DAM	148.63.224.35
CQ0DCH	44.31.192.6
CQ0DCS	89.114.75.28
CQ0DKE	94.63.113.106
CQ0DLR	148.71.55.157
CQ0DLX	83.132.211.69
CQ0DMC	46.50.115.158
CQ0DPF	87.196.82.118
CQ0DSA	93.102.247.165
CQ0DSE	194.65.99.254
CQ0DSL	188.140.60.211
CQ0DSM	188.81.36.228
CQ0DVI	213.13.216.208
CQ1DAT	85.244.54.239
DB0AFZ	37.24.134.23
DB0AMK	91.17.73.153
DB0BBW	81.14.214.234
DB0BHN	82.198.222.49
DB0BLW	93.229.251.15
DB0BS	5.63.43.162
DB0CHV	37.81.20.124
DB0DB	185.70.220.35
DB0DBN	79.210.221.5
DB0DBR	176.94.225.208
DB0DDO	85.22.85.236
DB0DF	89.16.150.28
DB0DJ	178.13.236.20
DB0DON	185.64.139.246
DB0DOS	188.246.4.180
DB0DRB	193.168.82.24
DB0DY	89.166.129.121
DB0EBZ	188.193.97.30
DB0EIS	95.222.152.96
DB0ERZ	217.6.70.228
DB0ESS	212.125.105.180
DB0FHS	194.94.72.150
DB0FIB	87.138.251.215
DB0FRB	87.158.185.22
DB0FWS	46.232.248.98
DB0GC	87.184.252.173
DB0GM	93.214.253.91
DB0GZL	84.187.83.149
DB0HAA	87.143.41.107
DB0HBO	134.91.90.125
DB0HDF	217.224.35.200
DB0HEW	46.114.171.150
DB0HFD	178.208.98.198
DB0HFT	194.94.26.157
DB0HRF	94.249.222.91
DB0HRR	80.132.159.34
DB0INS	5.102.164.211
DB0KH	185.158.182.140
DB0LBX	185.156.156.157
DB0LJ	92.201.39.96
DB0MMR	213.174.226.144
DB0MOT	94.249.222.90
DB0NG	84.118.110.175
DB0NIC	77.21.103.168
DB0NU	188.192.129.13
DB0OAL	84.130.247.245
DB0OHA	90.187.0.205
DB0OL	194.94.26.157
DB0OLF	185.14.13.49
DB0OVP	87.151.234.232
DB0OX	91.67.241.104
DB0POB	87.151.207.161
