# TGList_P25.txt downloaded from http://www.pistar.uk/downloads/TGList_P25.txt
# sourced from https://raw.githubusercontent.com/g4klx/P25Clients/master/P25Gateway/P25Hosts.txt
# Please report issues at https://www.facebook.com/groups/pistarusergroup/
# File updated on Saturday 29th of October 2022
#
# Dest ID;Name;Description
#
9999;P25-ULINK;P25 UNLINK
10;P25-PARROT;P25 PARROT
6;P25-REF-6;P25-REF-6
38;P25-REF-38;P25-REF-38
138;P25-REF-138;P25-REF-138
149;P25-REF-149;P25-REF-149
202;P25-REF-202;P25-REF-202
204;P25-REF-204;P25-REF-204
214;P25-REF-214;P25-REF-214
226;P25-REF-226;P25-REF-226
260;P25-REF-260;P25-REF-260
357;P25-REF-357;P25-REF-357
420;P25-REF-420;P25-REF-420
445;P25-REF-445;P25-REF-445
456;P25-REF-456;P25-REF-456
530;P25-REF-530;P25-REF-530
556;P25-REF-556;P25-REF-556
666;P25-REF-666;P25-REF-666
707;P25-REF-707;P25-REF-707
724;P25-REF-724;P25-REF-724
730;P25-REF-730;P25-REF-730
762;P25-REF-762;P25-REF-762
822;P25-REF-822;P25-REF-822
841;P25-REF-841;P25-REF-841
858;P25-REF-858;P25-REF-858
865;P25-REF-865;P25-REF-865
891;P25-REF-891;P25-REF-891
910;P25-REF-910;P25-REF-910
927;P25-REF-927;P25-REF-927
994;P25-REF-994;P25-REF-994
1007;P25-REF-1007;P25-REF-1007
1701;P25-REF-1701;P25-REF-1701
1928;P25-REF-1928;P25-REF-1928
2050;P25-REF-2050;P25-REF-2050
2140;P25-REF-2140;P25-REF-2140
2147;P25-REF-2147;P25-REF-2147
2221;P25-REF-2221;P25-REF-2221
2231;P25-REF-2231;P25-REF-2231
2263;P25-REF-2263;P25-REF-2263
2265;P25-REF-2265;P25-REF-2265
2345;P25-REF-2345;P25-REF-2345
2503;P25-REF-2503;P25-REF-2503
2700;P25-REF-2700;P25-REF-2700
3023;P25-REF-3023;P25-REF-3023
3026;P25-REF-3026;P25-REF-3026
3142;P25-REF-3142;P25-REF-3142
3147;P25-REF-3147;P25-REF-3147
3160;P25-REF-3160;P25-REF-3160
3300;P25-REF-3300;P25-REF-3300
3340;P25-REF-3340;P25-REF-3340
3345;P25-REF-3345;P25-REF-3345
4095;P25-REF-4095;P25-REF-4095
5057;P25-REF-5057;P25-REF-5057
5205;P25-REF-5205;P25-REF-5205
5621;P25-REF-5621;P25-REF-5621
6395;P25-INDIANA;P25-INDIANA
6969;P25-REF-6969;P25-REF-6969
7160;P25-REF-7160;P25-REF-7160
7225;P25-REF-7225;P25-REF-7225
7487;P25-REF-7487;P25-REF-7487
7941;P25-REF-7941;P25-REF-7941
8200;P25-REF-8200;P25-REF-8200
8208;P25-REF-8208;P25-REF-8208
9050;P25-REF-9050;P25-REF-9050
9480;P25-REF-9480;P25-REF-9480
9846;P25-REF-9846;P25-REF-9846
10100;P25-WORLDWIDE;P25-WORLDWIDE
10101;P25-REF-10101;P25-REF-10101
10102;P25-REF-10102;P25-REF-10102
10103;P25-REF-10103;P25-REF-10103
10120;P25-REF-10120;P25-REF-10120
10169;P25-REF-10169;P25-REF-10169
10200;P25-AMERICA;P25-AMERICA
10201;P25-AMERICA-TAC01;P25-AMERICA-TAC01
10202;P25-AMERICA-TAC02;P25-AMERICA-TAC02
10203;P25-AMERICA-TAC03;P25-AMERICA-TAC03
10208;P25-AMERICA-TAC08;P25-AMERICA-TAC08
10209;P25-AMERICA-TAC09;P25-AMERICA-TAC09
10216;P25-AMERICA-TAC16;P25-AMERICA-TAC16
10255;P25-AMERICA-TAC55;P25-AMERICA-TAC55
10260;P25-AMERICA-TAC60;P25-AMERICA-TAC60
10294;P25-AMERICA-TAC94;P25-AMERICA-TAC94
10300;P25-EUROPE;P25-EUROPE
10301;P25-EUROPE-TAC01;P25-EUROPE-TAC01
10302;P25-EUROPE-TAC02;P25-EUROPE-TAC02
10303;P25-EUROPE-TAC03;P25-EUROPE-TAC03
10310;P25-EUROPE-TAC10;P25-EUROPE-TAC10
10311;P25-EUROPE-TAC11;P25-EUROPE-TAC11
10320;P25-EUROPE-TAC20;P25-EUROPE-TAC20
10321;P25-EUROPE-TAC21;P25-EUROPE-TAC21
10328;P25-EUROPE-TAC28;P25-EUROPE-TAC28
10342;P25-EUROPE-TAC42;P25-EUROPE-TAC42
10350;P25-EUROPE-TAC50;P25-EUROPE-TAC50
10400;P25-PACIFIC;P25-PACIFIC
10401;P25-PACIFIC-TAC01;P25-PACIFIC-TAC01
10402;P25-PACIFIC-TAC02;P25-PACIFIC-TAC02
10403;P25-PACIFIC-TAC03;P25-PACIFIC-TAC03
10404;P25-PACIFIC-TAC04;P25-PACIFIC-TAC04
10405;P25-PACIFIC-TAC05;P25-PACIFIC-TAC05
10406;P25-PACIFIC-TAC06;P25-PACIFIC-TAC06
10407;P25-PACIFIC-TAC07;P25-PACIFIC-TAC07
10409;P25-PACIFIC-TAC09;P25-PACIFIC-TAC09
10421;P25-PACIFIC-TAC21;P25-PACIFIC-TAC21
10444;P25-PACIFIC-TAC44;P25-PACIFIC-TAC44
10472;P25-PACIFIC-TAC72;P25-PACIFIC-TAC72
10473;P25-PACIFIC-TAC73;P25-PACIFIC-TAC73
10512;P25-REF-10512;P25-REF-10512
10666;P25-REF-10666;P25-REF-10666
10700;P25-10700-VK;P25-10700-VK
10888;P25-REF-10888;P25-REF-10888
10901;P25-REF-10901;P25-REF-10901
10945;P25-REF-10945;P25-REF-10945
11069;P25-REF-11069;P25-REF-11069
20222;P25-REF-20222;P25-REF-20222
21909;P25-REF-21909;P25-REF-21909
22200;P25-REF-22200;P25-REF-22200
22202;P25-REF-22202;P25-REF-22202
22212;P25-REF-22212;P25-REF-22212
22221;P25-REF-22221;P25-REF-22221
22252;P25-REF-22252;P25-REF-22252
22258;P25-REF-22258;P25-REF-22258
22487;P25-REF-22487;P25-REF-22487
23225;P25-REF-23225;P25-REF-23225
23426;P25-REF-23426;P25-REF-23426
23456;P25-REF-23456;P25-REF-23456
23511;P25-REF-23511;P25-REF-23511
23551;P25-REF-23551;P25-REF-23551
23595;P25-REF-23595;P25-REF-23595
25605;P25-REF-25605;P25-REF-25605
25617;P25-REF-25617;P25-REF-25617
25641;P25-REF-25641;P25-REF-25641
26078;P25-REF-26078;P25-REF-26078
26285;P25-REF-26285;P25-REF-26285
26444;P25-REF-26444;P25-REF-26444
26538;P25-REF-26538;P25-REF-26538
28299;P25-USA-RAGCHEW;P25-USA-RAGCHEW
29252;P25-REF-29252;P25-REF-29252
30639;P25-USA-NORCAL;P25-USA-NORCAL
31010;P25-USA-ALABAMA;P25-USA-ALABAMA
31044;P25-REF-31044;P25-REF-31044
31057;P25-REF-31057;P25-REF-31057
31059;P25-REF-31059;P25-REF-31059
31062;P25-REF-31062;P25-REF-31062
31069;P25-REF-31069;P25-REF-31069
31077;P25-REF-31077;P25-REF-31077
31078;P25-REF-31078;P25-REF-31078
31079;P25-REF-31079;P25-REF-31079
31088;P25-REF-31088;P25-REF-31088
31092;P25-REF-31092;P25-REF-31092
31121;P25-REF-31121;P25-REF-31121
31123;P25-REF-31123;P25-REF-31123
31161;P25-REF-31161;P25-REF-31161
31171;P25-REF-31171;P25-REF-31171
31177;P25-REF-31177;P25-REF-31177
31188;P25-REF-31188;P25-REF-31188
31207;P25-REF-31207;P25-REF-31207
31220;P25-REF-31220;P25-REF-31220
31226;P25-REF-31226;P25-REF-31226
31238;P25-REF-31238;P25-REF-31238
31257;P25-REF-31257;P25-REF-31257
31264;P25-REF-31264;P25-REF-31264
31266;P25-REF-31266;P25-REF-31266
31337;P25-REF-31337;P25-REF-31337
31340;P25-REF-31340;P25-REF-31340
31341;P25-REF-31341;P25-REF-31341
31395;P25-REF-31395;P25-REF-31395
31403;P25-REF-31403;P25-REF-31403
31425;P25-REF-31425;P25-REF-31425
31426;P25-REF-31426;P25-REF-31426
31444;P25-REF-31444;P25-REF-31444
31555;P25-REF-31555;P25-REF-31555
31581;P25-REF-31581;P25-REF-31581
31582;P25-REF-31582;P25-REF-31582
31620;P25-REF-31620;P25-REF-31620
31655;P25-REF-31655;P25-REF-31655
31665;P25-P25-DMR-GW;P25-P25-DMR-GW
31672;P25-PI-STAR;P25-PI-STAR
31679;P25-REF-31679;P25-REF-31679
31691;P25-REF-31691;P25-REF-31691
31777;P25-REF-31777;P25-REF-31777
31888;P25-REF-31888;P25-REF-31888
31983;P25-REF-31983;P25-REF-31983
32103;P25-REF-32103;P25-REF-32103
33015;P25-REF-33015;P25-REF-33015
33581;P25-REF-33581;P25-REF-33581
37030;P25-REF-37030;P25-REF-37030
37225;P25-REF-37225;P25-REF-37225
37500;P25-REF-37500;P25-REF-37500
40721;P25-REF-40721;P25-REF-40721
43389;P25-REF-43389;P25-REF-43389
43715;P25-REF-43715;P25-REF-43715
44000;P25-REF-44000;P25-REF-44000
44120;P25-REF-44120;P25-REF-44120
45000;P25-REF-45000;P25-REF-45000
46001;P25-REF-46001;P25-REF-46001
46004;P25-REF-46004;P25-REF-46004
46010;P25-REF-46010;P25-REF-46010
46055;P25-REF-46055;P25-REF-46055
46516;P25-REF-46516;P25-REF-46516
49562;P25-REF-49562;P25-REF-49562
50210;P25-REF-50210;P25-REF-50210
50525;P25-50525-MULTI;P25-50525-MULTI
50535;P25-REF-50535;P25-REF-50535
50536;P25-REF-50536;P25-REF-50536
51502;P25-REF-51502;P25-REF-51502
51503;P25-REF-51503;P25-REF-51503
51526;P25-REF-51526;P25-REF-51526
51547;P25-REF-51547;P25-REF-51547
51575;P25-REF-51575;P25-REF-51575
52032;P25-REF-52032;P25-REF-52032
52072;P25-REF-52072;P25-REF-52072
52138;P25-REF-52138;P25-REF-52138
52149;P25-REF-52149;P25-REF-52149
52910;P25-REF-52910;P25-REF-52910
53099;P25-REF-53099;P25-REF-53099
54100;P25-REF-54100;P25-REF-54100
55100;P25-REF-55100;P25-REF-55100
56987;P25-REF-56987;P25-REF-56987
60100;P25-REF-60100;P25-REF-60100
62869;P25-REF-62869;P25-REF-62869
63600;P25-REF-63600;P25-REF-63600
65100;P25-REF-65100;P25-REF-65100
72405;P25-REF-72405;P25-REF-72405
